Nr sieciowy|Nr fabryczny|Kod błędu|Kod błędu (2 przet)|Data|Czas|Czas pracy (h)|Czas pracy z błędem (h)|Energia|Objętość (m3)|Obj (2 przet) (m3)|Różnica objętości (m3)|Wejście dod 1|Wejście dod 2|Wejście dod 3|Wejście dod 4|Przepływ (m3/h)|Przepływ chwilowy 2 (m3/h)|Różnica przepływu (m3/h)|Moc|T zasilania (C)|T powrotu (C)|T różnica (C)|En rej chłodu|En taryfa 1|En taryfa 2|Obj rej chłodu (m3)|Obj taryfa 1 (m3)|Obj taryfa 2 (m3)|Obj masowa 1 (m3)|Obj masowa 2 (m3)|Różnica obj mas (m3)|Data zapisu maks|Przepływ maks z mies (m3/h)|Moc maks z mies|Data zapisu śr|Przeplyw śr z doby (m3/h)|T zas śr z doby (C)|T pow śr z doby (C)|Data zapisu arch rozl|En arch rozl|En dod arch rozl|En tar1 arch rozl|En tar2 arch rozl|Obj arch rozl (m3)|Wd1 arch rozl|Wd2 arch rozl|Wd3 arch rozl|Wd4 arch rozl|Adres
1d|12021011|0||19-12-11|10m20s25|62376|3504|8,262[GJ]|103,450|||71,762[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,007|||0,20[kW]|66,1|41,2|24,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/3
1e|03760514|0||19-12-11|10m20s29|30969|2419|7,073[GJ]|121,718|||63,731[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,142|||1,27[kW]|76,6|68,6|8,0|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/4
1f|11331011|0||19-12-11|10m20s34|65543|3489|5,557[GJ]|74,291|||61,121[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,017|||0,78[kW]|76,8|36,6|40,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/5
20|07360312|0||19-12-11|10m20s38|65627|1841|9,099[GJ]|88,539|||95,779[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|75,3|35,0|40,3|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/6
21|07520312|0||19-12-11|10m20s42|64796|5753|6,312[GJ]|111,379|||48,454[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,183|||1,53[kW]|76,3|68,9|7,4|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/7
22|13081011|0||19-12-11|10m20s46|64195|3047|7,410[GJ]|114,588|||88,438[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,057|||0,42[kW]|76,3|69,7|6,6|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/8
23|05290312|0||19-12-11|10m20s50|64028|1759|3,739[GJ]|75,431|||50,331[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|66,6|44,6|22,0|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/9
24|13011011|0||19-12-11|10m20s55|64834|13040|10,630[GJ]|112,659|||72,436[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,023|||1,08[kW]|75,8|34,9|40,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/10
25|15630608|0||19-12-11|10m20s59|100501|8150|92,774[GJ]|1451,967|||484,073[m3]|0,003[m3]|0,003[m3]|0,034[m3]|0,008|||0,41[kW]|73,8|28,7|45,1|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/11
26|15520608|0||19-12-11|10m21s03|100223|13078|215,661[GJ]|2946,708|||483,151[m3]|0,000[m3]|2,669[m3]|0,000[m3]|0,000|||0,00[kW]|69,1|27,5|41,6|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/12
